epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,36.5475,1.20471,1.35623,1.21077,0.96478,1,0.995,0.796,0.98234,0.72045,0.96205,0.00040905,0.00040905,0.00040905
61,37.1195,0.87481,1.20287,0.86697,0.96478,1,0.995,0.796,0.98234,0.72045,0.96205,0.000406081,0.000406081,0.000406081
62,37.6446,0.92815,1.2552,1.19491,0.96478,1,0.995,0.796,0.98234,0.72045,0.96205,0.000402782,0.000402782,0.000402782
63,38.2395,1.48265,1.7876,1.18713,0.96478,1,0.995,0.796,0.98234,0.72045,0.96205,0.000399153,0.000399153,0.000399153
64,38.7677,0.88243,1.44343,1.14444,0.96478,1,0.995,0.796,0.98234,0.72045,0.96205,0.000395194,0.000395194,0.000395194
65,39.3571,1.15571,1.42166,1.11562,0.9459,1,0.995,0.796,0.95205,1.12937,0.95781,0.000390905,0.000390905,0.000390905
66,39.9064,1.10907,1.06942,0.93539,0.9459,1,0.995,0.796,0.95205,1.12937,0.95781,0.000386286,0.000386286,0.000386286
67,40.4797,0.77339,1.17233,1.06489,0.9459,1,0.995,0.796,0.95205,1.12937,0.95781,0.000381336,0.000381336,0.000381336
68,41.0912,1.0274,1.7584,1.22203,0.9459,1,0.995,0.796,0.95205,1.12937,0.95781,0.000376057,0.000376057,0.000376057
69,41.6346,1.01191,1.20881,1.20289,0.9459,1,0.995,0.796,0.95205,1.12937,0.95781,0.000370447,0.000370447,0.000370447
70,42.3326,1.09698,1.45698,1.28847,0.9459,1,0.995,0.796,0.95205,1.12937,0.95781,0.000364508,0.000364508,0.000364508
71,42.8527,1.15286,1.15282,1.09166,0.9459,1,0.995,0.796,0.95205,1.12937,0.95781,0.000358238,0.000358238,0.000358238
72,43.4066,0.96332,1.28395,1.10145,0.96174,1,0.995,0.6965,1.06568,0.93259,0.93317,0.000351639,0.000351639,0.000351639
73,43.9271,1.10431,1.29094,1.0923,0.96174,1,0.995,0.6965,1.06568,0.93259,0.93317,0.000344709,0.000344709,0.000344709
74,44.4627,1.01487,1.28291,1.066,0.96174,1,0.995,0.6965,1.06568,0.93259,0.93317,0.000337449,0.000337449,0.000337449
75,45.0004,0.94891,1.28512,1.18698,0.96174,1,0.995,0.6965,1.06568,0.93259,0.93317,0.000329859,0.000329859,0.000329859
76,45.5347,0.8315,1.20722,1.08153,0.96174,1,0.995,0.6965,1.06568,0.93259,0.93317,0.000321939,0.000321939,0.000321939
77,46.1223,0.92832,1.5852,1.1361,0.96174,1,0.995,0.6965,1.06568,0.93259,0.93317,0.000313689,0.000313689,0.000313689
78,46.6926,1.22547,1.28045,0.92276,0.96174,1,0.995,0.6965,1.06568,0.93259,0.93317,0.000305109,0.000305109,0.000305109
79,47.2899,0.86185,1.14115,1.0715,0.97229,1,0.995,0.6965,1.19506,0.69845,0.91854,0.000296199,0.000296199,0.000296199
80,47.831,0.97643,1.29165,0.96441,0.97229,1,0.995,0.6965,1.19506,0.69845,0.91854,0.000286959,0.000286959,0.000286959
81,48.3784,0.87938,0.90051,1.02527,0.97229,1,0.995,0.6965,1.19506,0.69845,0.91854,0.000277389,0.000277389,0.000277389
82,48.9106,0.90392,1.06633,0.93411,0.97229,1,0.995,0.6965,1.19506,0.69845,0.91854,0.000267488,0.000267488,0.000267488
83,49.4479,1.06385,1.3724,1.05465,0.97229,1,0.995,0.6965,1.19506,0.69845,0.91854,0.000257258,0.000257258,0.000257258
84,49.9954,1.03986,1.14887,0.80007,0.97229,1,0.995,0.6965,1.19506,0.69845,0.91854,0.000246698,0.000246698,0.000246698
85,50.5334,1.09634,1.00076,1.09708,0.97229,1,0.995,0.6965,1.19506,0.69845,0.91854,0.000235807,0.000235807,0.000235807
86,51.1066,0.96611,1.05677,1.1042,0.97229,1,0.995,0.6965,1.19506,0.69845,0.91854,0.000224587,0.000224587,0.000224587
87,51.6745,1.1203,1.27714,0.97039,0.9735,1,0.995,0.6965,1.30069,1.0175,0.94046,0.000213036,0.000213036,0.000213036
88,52.2365,1.03964,1.22991,0.86482,0.9735,1,0.995,0.6965,1.30069,1.0175,0.94046,0.000201155,0.000201155,0.000201155
89,52.7636,1.24448,1.76005,1.38833,0.9735,1,0.995,0.6965,1.30069,1.0175,0.94046,0.000188944,0.000188944,0.000188944
90,53.4438,0.89322,1.08889,1.00022,0.9735,1,0.995,0.6965,1.30069,1.0175,0.94046,0.000176404,0.000176404,0.000176404
91,58.7777,0.94407,1.85011,1.22336,0.9735,1,0.995,0.6965,1.30069,1.0175,0.94046,0.000163533,0.000163533,0.000163533
92,60.4666,1.12456,1.42,1.33155,0.9735,1,0.995,0.6965,1.30069,1.0175,0.94046,0.000150332,0.000150332,0.000150332
93,61.1192,0.81999,1.60575,1.11593,0.9735,1,0.995,0.6965,1.30069,1.0175,0.94046,0.000136801,0.000136801,0.000136801
